X,Y,OBJECTID,Business_Category,Business_Name,Address,City,Zip
-13121518.1823191,4026987.02071652,1526,Food Establishment,"Tawa Supermarket, Inc.",19725 Colima Road,Rowland Heights,91748
-13128404.1259052,4027454.85201972,1527,Food Establishment,"Tawa, Inc. (Retail)",17120 Colima Road,Hacienda Heights,91745
-13194553.3872589,4079859.61996741,1528,Food Establishment,Teagans LLC,24335 Main Street,Newhall,91321
-13125207.9262255,4029669.90837112,1529,Food Establishment,TEHMAG FOODS USA CORPORATION  ,18193   VALLEY BLVD.    ,LA PUENTE              ,91744
-13125207.9262255,4029669.90837112,1530,Food Establishment,TEHMAG FOODS USA CORPORATION,18193 Valley Boulevard,La Puente,91744
-13197170.4873929,4083136.52993602,1531,Food Establishment,THE ALAMO ROTISSERIE,25946 McBean Parkway,Valencia,91355
-13165167.8731362,4042804.12393685,1532,Food Establishment,"The Fool Bakery, LLC",2719 W Tesla Avenue,Los Angeles,90039
-13176214.3929204,4027235.40467627,1533,Food Establishment,THE HOME DEPOT                ,4925   W SLAUSON AVE     ,Los Angeles,90056
-13146976.2593553,4047347.16223448,1534,Food Establishment,The Honey Baked Ham Co. LLC,480 S Sierra Madre Boulevard,Pasadena,91107
-13141090.800048,4017691.22070442,1535,Food Establishment,The Hot Box Catering,13315 Imperial Highway,Whittier,90605
-13178267.8868328,4036409.43709351,1536,Food Establishment,The Rabbit JAHR,1112 S Wooster Street,Los Angeles,90035
-13223830.3966006,4049636.48254058,1537,Food Establishment,The Royal Egg Cafe Inc,30815 Thousand Oaks Boulevard,Westlake Village,91362
-13216453.8136179,4046685.37561779,1538,Food Establishment,"The Royal Egg Cafe, Inc.",4000 Yankee Drive,Agoura Hills,91301
-13225880.6160449,4031603.83093854,1539,Food Establishment,"The Vons Companies, Inc",29211 Heathercliff Road,Malibu,90265
-13139846.6474161,4018161.62380592,1540,Food Establishment,Tienda Xochimilco Inc,13800 Leffingwell Road,Whittier,90605
-13196537.1212137,4085594.17822924,1541,Food Establishment,TIGRIS MM&A INC,23342 Valencia Boulevard,Valencia,91355
-13153267.9741384,4031191.82517923,1542,Food Establishment,"TNS Enterprises,Inc",1010 S Atlantic Boulevard,Los Angeles,90022
-13163872.8342088,4025408.52484004,1543,Food Establishment,Tobacco and Mini Mart LLC,1252 E Florence Avenue,Los Angeles,90001
